Distribution  | Instance | Zeta | Objective | Total tour time | Average decision time (s) | Maximum decision time (s)
C201         | 10         | 1.25            | 75             | 661          | 0.250               | 0.479        
C201         | 1         | 1.50            | 91             | 793          | 0.337               | 0.507        
C201         | 2         | 1.50            | 86             | 792          | 0.359               | 0.796        
C201         | 3         | 1.50            | 87             | 794          | 0.308               | 0.604        
C201         | 4         | 1.50            | 88             | 793          | 0.305               | 0.514        
C201         | 5         | 1.50            | 88             | 793          | 0.283               | 0.369        
C201         | 6         | 1.50            | 89             | 793          | 0.423               | 1.158        
C201         | 7         | 1.50            | 89             | 792          | 0.432               | 1.358        
C201         | 8         | 1.50            | 82             | 791          | 0.276               | 0.597        
C201         | 9         | 1.50            | 85             | 793          | 0.264               | 0.433        
C201         | 10         | 1.50            | 91             | 791          | 0.310               | 0.561        
RC101         | 1         | 1.00            | 54             | 614          | 0.183               | 0.281        
RC101         | 2         | 1.00            | 59             | 613          | 0.193               | 0.337        
RC101         | 3         | 1.00            | 54             | 613          | 0.288               | 0.605        
RC101         | 4         | 1.00            | 58             | 614          | 0.197               | 0.424        
RC101         | 5         | 1.00            | 57             | 613          | 0.204               | 0.384        
RC101         | 6         | 1.00            | 57             | 613          | 0.210               | 0.430        
RC101         | 7         | 1.00            | 61             | 612          | 0.205               | 0.434        
RC101         | 8         | 1.00            | 63             | 615          | 0.370               | 1.025        
RC101         | 9         | 1.00            | 59             | 612          | 0.288               | 0.898        
RC101         | 10         | 1.00            | 61             | 611          | 0.240               | 0.734        
RC101         | 1         | 1.25            | 74             | 766          | 0.273               | 0.623        
RC101         | 2         | 1.25            | 72             | 767          | 0.285               | 0.636        
RC101         | 3         | 1.25            | 70             | 768          | 0.294               | 0.538        
RC101         | 4         | 1.25            | 72             | 768          | 0.335               | 0.520        
RC101         | 5         | 1.25            | 69             | 769          | 0.385               | 1.205        
RC101         | 6         | 1.25            | 72             | 768          | 0.328               | 1.151        
RC101         | 7         | 1.25            | 68             | 769          | 0.417               | 1.202        
RC101         | 8         | 1.25            | 73             | 768          | 0.259               | 0.389        
RC101         | 9         | 1.25            | 68             | 769          | 0.286               | 0.688        
RC101         | 10         | 1.25            | 72             | 767          | 0.293               | 0.939        
RC101         | 1         | 1.50            | 83             | 921          | 0.440               | 1.337        
RC101         | 2         | 1.50            | 79             | 923          | 0.450               | 1.127        
RC101         | 3         | 1.50            | 96             | 919          | 0.332               | 1.029        
RC101         | 4         | 1.50            | 87             | 920          | 0.321               | 0.697        
RC101         | 5         | 1.50            | 87             | 922          | 0.386               | 0.728        
RC101         | 6         | 1.50            | 91             | 922          | 0.351               | 0.731        
RC101         | 7         | 1.50            | 88             | 922          | 0.372               | 0.844        
RC101         | 8         | 1.50            | 86             | 921          | 0.287               | 0.613        
RC101         | 9         | 1.50            | 82             | 922          | 0.296               | 0.620        
RC101         | 10         | 1.50            | 85             | 921          | 0.364               | 1.108        
